condition,dim,i2t_r1,i2t_r5,i2t_r10,t2i_r1,t2i_r5,t2i_r10,i2t_r1_ret,t2i_r1_ret,tau_mode,weight_mode
abl_per_dim_inverse,32,78.2,95.5,98.1,62.18,87.0,92.84,90.40462427745665,87.7504939316963,per_dim,inverse
abl_per_dim_inverse,64,83.2,96.3,98.9,67.22,89.7,94.38,96.18497109826589,94.86311035845328,per_dim,inverse
abl_per_dim_inverse,128,85.2,97.1,98.9,69.14,90.78,94.94,98.4971098265896,97.57267852102738,per_dim,inverse
abl_per_dim_inverse,256,86.3,96.89999999999999,98.9,70.78,90.84,95.12,99.76878612716763,99.88710132655942,per_dim,inverse
abl_per_dim_inverse,512,86.5,97.7,99.1,70.86,91.12,95.14,100.0,100.0,per_dim,inverse
abl_per_dim_linear,32,74.2,93.2,96.8,59.84,84.7,90.78,85.78034682080924,83.73915477190036,per_dim,linear
abl_per_dim_linear,64,81.6,96.2,98.7,66.66,89.25999999999999,94.3,94.33526011560693,93.28295549958017,per_dim,linear
abl_per_dim_linear,128,85.2,97.3,99.2,69.92,90.98,95.32000000000001,98.4971098265896,97.84494822278197,per_dim,linear
abl_per_dim_linear,256,85.7,97.6,99.0,71.02000000000001,91.24,95.44,99.07514450867052,99.38427092079485,per_dim,linear
abl_per_dim_linear,512,86.5,97.5,99.5,71.46000000000001,91.5,95.58,100.0,100.0,per_dim,linear
